Strike,BidVolP,AskVolP,BidVolC,AskVolC
1.8,0.355992,0.37958,0.382495,0.376768
1.85,0.347329,0.360058,0.324257,0.445351
1.9,0.348722,0.364699,0.345696,0.356727
1.95,0.352502,0.362766,0.361675,0.359809
2,0.320232,0.377592,0.366728,0.378685
2.05,0.344916,0.398127,0.373237,0.379547
2.1,-nan,0.49138,0.39516,0.422717
2.15,-nan,0.561395,0.394589,0.408464
2.2,-nan,0.653897,0.408128,0.427915
2.25,-nan,1.61932,0.431686,0.455611
2.3,-nan,1.7331,0.46374,0.496898
2.35,-nan,1.83821,0.499075,0.528882
2.4,-nan,1.16104,0.524942,0.565271
2.45,-nan,2.03279,0.533909,0.614184
2.5,4.97803,2.04833,0.576262,0.66162
2.55,-nan,2.1361,0.659172,0.707688
2.6,-nan,2.22172,0.657567,0.729669
